label,r_mean,g_mean,b_mean,r_std,g_std,b_std,hue_mean,sat_mean,val_mean,dx,dy,gray_mean,gray_std,r_ratio,g_ratio,b_ratio
Powdery Mildew,215,210,205,18,16,14,25,20,215,6.5,5.8,210,16,0.35,0.34,0.33
Powdery Mildew,220,215,210,20,18,16,22,18,220,7.0,6.2,215,18,0.35,0.34,0.33
Powdery Mildew,210,205,200,16,14,12,28,22,210,6.0,5.5,205,14,0.35,0.34,0.33
Powdery Mildew,218,212,208,19,17,15,24,19,218,6.8,6.0,212,17,0.35,0.34,0.33
Powdery Mildew,225,218,212,22,20,18,20,16,225,7.5,6.8,218,20,0.35,0.34,0.33
Blast Disease,42,48,52,15,18,20,200,120,52,18.5,17.2,48,22,0.30,0.34,0.37
Blast Disease,38,44,48,13,16,18,198,115,48,17.8,16.5,44,20,0.30,0.34,0.37
Blast Disease,45,50,55,17,20,22,202,125,55,19.0,17.8,50,24,0.30,0.33,0.37
Blast Disease,40,46,50,14,17,19,199,118,50,18.0,16.8,46,21,0.30,0.34,0.37
Blast Disease,48,52,58,18,21,23,205,128,58,19.5,18.2,52,25,0.30,0.33,0.37
Leaf Spot,125,105,78,28,22,18,35,155,125,9.5,8.8,108,25,0.42,0.35,0.26
Leaf Spot,130,110,82,30,24,20,33,160,130,10.0,9.2,112,27,0.42,0.36,0.27
Leaf Spot,120,100,75,26,20,16,37,150,120,9.0,8.5,104,23,0.42,0.35,0.26
Leaf Spot,135,115,85,32,26,22,31,165,135,10.5,9.8,116,29,0.42,0.36,0.27
Leaf Spot,122,102,77,27,21,17,36,152,122,9.2,8.6,106,24,0.42,0.35,0.26
Bacterial Blight,95,135,88,20,30,22,115,185,135,7.8,7.2,118,26,0.30,0.43,0.28
Bacterial Blight,98,140,92,22,32,24,118,190,140,8.2,7.6,122,28,0.30,0.43,0.28
Bacterial Blight,92,130,85,18,28,20,112,180,130,7.4,6.8,114,24,0.30,0.43,0.28
Bacterial Blight,100,145,95,24,34,26,120,195,145,8.6,8.0,126,30,0.30,0.43,0.28
Bacterial Blight,93,132,87,19,29,21,113,182,132,7.6,7.0,116,25,0.30,0.43,0.28
Mosaic Virus,158,135,62,42,38,22,55,175,158,14.5,13.2,132,38,0.47,0.40,0.18
Mosaic Virus,162,140,65,45,40,24,52,180,162,15.0,13.8,136,40,0.47,0.40,0.19
Mosaic Virus,155,130,60,40,36,20,58,170,155,14.0,12.8,128,36,0.47,0.40,0.18
Mosaic Virus,165,145,68,48,42,26,50,185,165,15.5,14.2,140,42,0.47,0.41,0.19
Mosaic Virus,158,132,62,41,37,21,56,172,158,14.2,13.0,130,37,0.47,0.40,0.18
Fusarium Wilt,135,82,48,38,22,16,18,205,135,16.5,15.2,98,35,0.53,0.32,0.19
Fusarium Wilt,140,85,45,40,24,18,16,210,140,17.0,15.8,102,37,0.54,0.33,0.18
Fusarium Wilt,132,78,50,36,20,15,20,200,132,16.0,14.8,95,33,0.52,0.31,0.20
Fusarium Wilt,145,88,42,42,26,20,14,215,145,17.5,16.2,106,39,0.54,0.33,0.16
Fusarium Wilt,136,80,48,37,21,15,19,202,136,16.2,15.0,97,34,0.53,0.31,0.19
Downy Mildew,105,128,145,25,28,32,195,145,145,11.5,10.8,128,30,0.31,0.38,0.43
Downy Mildew,108,132,150,28,30,35,198,150,150,12.0,11.2,132,32,0.31,0.38,0.43
Downy Mildew,102,125,140,22,26,30,192,140,140,11.0,10.5,124,28,0.31,0.38,0.42
Downy Mildew,110,135,152,30,32,37,200,155,152,12.5,11.8,135,34,0.31,0.38,0.43
Downy Mildew,104,127,142,23,27,31,193,142,142,11.2,10.6,126,29,0.31,0.38,0.43
Anthracnose,88,72,55,25,18,15,25,185,88,13.5,12.8,76,28,0.44,0.36,0.28
Anthracnose,92,75,52,28,20,17,22,190,92,14.0,13.2,80,30,0.45,0.37,0.25
Anthracnose,85,70,58,23,16,14,28,180,85,13.0,12.5,73,26,0.44,0.36,0.30
Anthracnose,95,78,50,30,22,18,20,195,95,14.5,13.8,84,32,0.45,0.37,0.24
Anthracnose,89,73,55,25,18,15,26,184,89,13.2,12.6,77,28,0.44,0.36,0.27
Root Rot,58,52,38,18,15,12,28,160,58,16.8,15.5,52,22,0.42,0.38,0.28
Root Rot,62,55,35,20,17,14,25,165,62,17.5,16.2,55,24,0.43,0.38,0.24
Root Rot,55,48,40,16,13,11,30,155,55,16.2,14.8,49,20,0.42,0.37,0.31
Root Rot,65,58,32,22,19,15,22,170,65,18.0,16.8,58,26,0.43,0.38,0.21
Root Rot,59,53,38,18,15,12,28,161,59,16.9,15.6,53,22,0.42,0.38,0.28
